No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
480333,18930.72,0.02,::211:11:11:11,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480335,18930.8,0.08,::201:1:1:1,::21b:1b:1b:1b,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480337,18930.84,0.04,::202:2:2:2,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480345,18931.08,0.24,::201:1:1:1,::211:11:11:11,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480351,18931.18,0.1,::202:2:2:2,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480353,18931.2,0.02,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480355,18931.22,0.02,::216:16:16:16,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480359,18931.32,0.1,::202:2:2:2,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480363,18931.35,0.03,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480366,18931.39,0.04,::216:16:16:16,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480370,18931.43,0.04,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480373,18931.46,0.03,::216:16:16:16,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480376,18931.55,0.09,::201:1:1:1,::202:2:2:2,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480378,18931.56,0.01,::201:1:1:1,::202:2:2:2,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480380,18931.58,0.02,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480382,18931.59,0.01,::216:16:16:16,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480384,18931.67,0.08,::222:22:22:22,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480385,18931.67,0,::201:1:1:1,::202:2:2:2,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480387,18931.69,0.02,::216:16:16:16,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480389,18931.71,0.02,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480393,18931.8,0.09,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480395,18931.81,0.01,::216:16:16:16,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480397,18931.82,0.01,::201:1:1:1,::211:11:11:11,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480399,18931.97,0.15,::216:16:16:16,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480402,18932.01,0.04,::222:22:22:22,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480404,18932.03,0.02,::221:21:21:21,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480405,18932.03,0,::222:22:22:22,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480410,18932.13,0.1,::221:21:21:21,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480412,18932.17,0.04,::222:22:22:22,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480414,18932.25,0.08,::221:21:21:21,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480416,18932.41,0.16,::221:21:21:21,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480419,18932.47,0.06,::201:1:1:1,::216:16:16:16,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480421,18932.49,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480423,18932.54,0.05,::221:21:21:21,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480425,18932.6,0.06,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480427,18932.63,0.03,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480429,18932.66,0.03,::221:21:21:21,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480433,18932.79,0.13,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480435,18932.8,0.01,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480437,18932.81,0.01,::201:1:1:1,::216:16:16:16,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480439,18932.82,0.01,::221:21:21:21,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480441,18933.08,0.26,::201:1:1:1,::222:22:22:22,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
480443,18933.09,0.01,::234:34:34:34,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
480445,18933.09,0,::201:1:1:1,::222:22:22:22,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
