No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
1104583,38132.99,0.06,::201:1:1:1,::216:16:16:16,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104585,38133.01,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104587,38133.06,0.05,::234:34:34:34,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104594,38133.09,0.03,::234:34:34:34,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104596,38133.11,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104598,38133.14,0.03,::234:34:34:34,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104600,38133.19,0.05,::234:34:34:34,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104602,38133.21,0.02,::201:1:1:1,::216:16:16:16,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104604,38133.26,0.05,::201:1:1:1,::216:16:16:16,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104610,38133.32,0.06,::234:34:34:34,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104612,38133.45,0.13,::234:34:34:34,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104614,38133.5,0.05,::201:1:1:1,::221:21:21:21,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104616,38133.51,0.01,::234:34:34:34,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104618,38133.52,0.01,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104624,38133.55,0.03,::234:34:34:34,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
1104626,38133.62,0.07,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104628,38133.67,0.05,::201:1:1:1,::221:21:21:21,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104630,38133.69,0.02,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104632,38133.72,0.03,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104636,38133.79,0.07,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104639,38133.82,0.03,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104644,38133.89,0.07,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104647,38133.92,0.03,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
1104650,38133.99,0.07,::201:1:1:1,::221:21:21:21,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
