No.,Time,Delta,Source,Destination,Protocol,Length,Data Length,Source Port,Destination Port,Data,Info
100621,3501.25,0.02,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100623,3501.29,0.04,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100625,3501.36,0.07,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100627,3501.37,0.01,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100629,3501.45,0.08,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100631,3501.46,0.01,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100633,3501.53,0.07,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100635,3501.54,0.01,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100637,3501.61,0.07,::201:1:1:1,::223:23:23:23,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100639,3501.62,0.01,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100641,3501.7,0.08,::201:1:1:1,::223:23:23:23,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100643,3501.78,0.08,::201:1:1:1,::223:23:23:23,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100656,3503.15,1.37,::20e:e:e:e,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100658,3503.16,0.01,::20e:e:e:e,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100660,3503.22,0.06,::20e:e:e:e,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100662,3503.33,0.11,::20e:e:e:e,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100664,3503.34,0.01,::20e:e:e:e,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100666,3503.35,0.01,::20e:e:e:e,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100668,3503.39,0.04,::21a:1a:1a:1a,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100669,3503.39,0,::20e:e:e:e,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100674,3503.5,0.11,::21a:1a:1a:1a,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100676,3503.51,0.01,::21a:1a:1a:1a,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100679,3503.52,0.01,::21a:1a:1a:1a,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100681,3503.56,0.04,::21a:1a:1a:1a,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100684,3503.58,0.02,::201:1:1:1,::20e:e:e:e,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100691,3503.7,0.12,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100693,3503.75,0.05,::201:1:1:1,::20e:e:e:e,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100699,3503.85,0.1,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100701,3503.87,0.02,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100703,3503.93,0.06,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100707,3504.02,0.09,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100710,3504.08,0.06,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100713,3504.09,0.01,::201:1:1:1,::21a:1a:1a:1a,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100714,3504.1,0.01,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100716,3504.12,0.02,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100718,3504.25,0.13,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100720,3504.26,0.01,::201:1:1:1,::21a:1a:1a:1a,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100722,3504.29,0.03,::201:1:1:1,::20e:e:e:e,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100723,3504.29,0,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100725,3504.38,0.09,::233:33:33:33,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100727,3504.38,0,::201:1:1:1,::21a:1a:1a:1a,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100729,3504.43,0.05,::233:33:33:33,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100731,3504.46,0.03,::201:1:1:1,::20e:e:e:e,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100733,3504.53,0.07,::201:1:1:1,::21a:1a:1a:1a,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100735,3504.6,0.07,::233:33:33:33,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100737,3504.61,0.01,::201:1:1:1,::21a:1a:1a:1a,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100739,3504.63,0.02,::201:1:1:1,::20e:e:e:e,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100741,3504.69,0.06,::21c:1c:1c:1c,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100743,3504.7,0.01,::233:33:33:33,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100744,3504.7,0,::21c:1c:1c:1c,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100746,3504.71,0.01,::21c:1c:1c:1c,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100748,3504.75,0.04,::21c:1c:1c:1c,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100750,3504.76,0.01,::201:1:1:1,::21a:1a:1a:1a,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100752,3504.87,0.11,::233:33:33:33,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100756,3504.99,0.12,::233:33:33:33,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100758,3505.11,0.12,::201:1:1:1,::21c:1c:1c:1c,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100760,3505.15,0.04,::233:33:33:33,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100762,3505.23,0.08,::201:1:1:1,::21c:1c:1c:1c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100764,3505.38,0.15,::201:1:1:1,::21c:1c:1c:1c,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100766,3505.46,0.08,::201:1:1:1,::21c:1c:1c:1c,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100769,3505.48,0.02,::201:1:1:1,::233:33:33:33,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100772,3505.5,0.02,::201:1:1:1,::233:33:33:33,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100774,3505.61,0.11,::201:1:1:1,::233:33:33:33,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100776,3505.64,0.03,::201:1:1:1,::233:33:33:33,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100778,3505.78,0.14,::201:1:1:1,::233:33:33:33,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100780,3505.94,0.16,::201:1:1:1,::233:33:33:33,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100782,3506.27,0.33,::209:9:9:9,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100784,3506.28,0.01,::209:9:9:9,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100786,3506.39,0.11,::209:9:9:9,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100788,3506.4,0.01,::209:9:9:9,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100790,3506.41,0.01,::209:9:9:9,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100792,3506.45,0.04,::209:9:9:9,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100794,3506.98,0.53,::201:1:1:1,::209:9:9:9,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100796,3507.1,0.12,::201:1:1:1,::209:9:9:9,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100798,3507.25,0.15,::201:1:1:1,::209:9:9:9,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100800,3507.33,0.08,::201:1:1:1,::209:9:9:9,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100803,3507.48,0.15,::201:1:1:1,::209:9:9:9,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100809,3507.6,0.12,::227:27:27:27,::201:1:1:1,UDP,50,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100812,3507.63,0.03,::201:1:1:1,::209:9:9:9,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100819,3507.75,0.12,::227:27:27:27,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100821,3507.76,0.01,::227:27:27:27,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100824,3507.77,0.01,::227:27:27:27,::201:1:1:1,UDP,59,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100828,3507.81,0.04,::227:27:27:27,::201:1:1:1,UDP,51,"6,1",8765,5678,�\234\223,8765  >  5678 Len=1
100831,3508,0.19,::201:1:1:1,::227:27:27:27,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100834,3508.12,0.12,::201:1:1:1,::227:27:27:27,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100836,3508.27,0.15,::201:1:1:1,::227:27:27:27,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100838,3508.35,0.08,::201:1:1:1,::227:27:27:27,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100842,3508.48,0.13,::201:1:1:1,::227:27:27:27,UDP,116,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100854,3510.49,2.01,::211:11:11:11,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100856,3510.64,0.15,::211:11:11:11,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100858,3510.7,0.06,::211:11:11:11,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100860,3510.81,0.11,::211:11:11:11,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100862,3510.82,0.01,::211:11:11:11,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100864,3510.83,0.01,::211:11:11:11,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100866,3510.87,0.04,::211:11:11:11,::201:1:1:1,UDP,52,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100868,3511.06,0.19,::201:1:1:1,::211:11:11:11,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100871,3511.18,0.12,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100874,3511.23,0.05,::201:1:1:1,::211:11:11:11,UDP,115,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100876,3511.33,0.1,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100878,3511.35,0.02,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100880,3511.37,0.02,::216:16:16:16,::201:1:1:1,UDP,51,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
100884,3511.41,0.04,::201:1:1:1,::211:11:11:11,UDP,124,"6,66",5678,8765,�\234\223,5678  >  8765 Len=66
100888,3511.52,0.11,::216:16:16:16,::201:1:1:1,UDP,60,"6,2",8765,5678,�\234\223,8765  >  5678 Len=2
